COUNTRY;COUNTRY CODE;STATE;STATE CODE;COUNTY;COUNTY CODE;LOCALITY ID;LOCALITY TYPE;LATITUDE;LONGITUDE
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7134762 ;P;30.9;-6.9
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7134987 ;P;30.8;-7.3
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7136509 ;P;30.9;-6.9
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7136529 ;P;31.3;-5.9
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7136531 ;P;31.2;-8
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7136536 ;P;31.2;-8
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7136539 ;P;31;-7.2
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7136540 ;P;31;-7.2
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7136545 ;P;30.9;-7.2
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7136653 ;P;31.3;-5.9
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7136856 ;P;30.6;-7.2
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7136889 ;P;30.5;-7.5
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7136898 ;P;30.5;-7.8
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7136911 ;P;30.5;-7.9
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7136923 ;P;30.5;-7.9
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7136943 ;P;30.6;-8
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7137129 ;P;30.4;-9.6
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7137715 ;P;31.3;-7.4
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7137716 ;P;31.5;-7.5
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7138823 ;P;31.2;-8
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7138845 ;P;31.2;-8
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7138847 ;P;31.5;-7.7
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7140385 ;P;30.7;-6.4
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7141306 ;P;31.4;-4.2
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7143115 ;P;31.2;-8
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7143129 ;P;31.2;-8
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7143137 ;P;31.2;-7.9
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7143145 ;P;31.2;-7.9
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7146771 ;P;31.6;-8
Morocco;MA;Tanger-Tétouan         ;MA-01;;;L7146998 ;P;35.5;-5.5
Morocco;MA;Tanger-Tétouan         ;MA-01;;;L7147145 ;P;35.5;-6
Morocco;MA;Tanger-Tétouan         ;MA-01;;;L7147805 ;P;35.6;-6
Morocco;MA;Tanger-Tétouan         ;MA-01;;;L7147920 ;P;35.6;-5.3
Morocco;MA;Tanger-Tétouan         ;MA-01;;;L7148229 ;P;35.5;-5.6
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7151758 ;P;30.5;-7.9
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7151766 ;P;30.5;-9.6
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7151801 ;P;30.7;-8.2
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7151835 ;P;30.6;-9.7
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7151890 ;P;30.5;-8.8
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7151933 ;P;30.7;-9.8
