TAXONOMIC ORDER;CATEGORY;TAXON CONCEPT ID;COMMON NAME;SCIENTIFIC NAME;SUBSPECIES COMMON NAME;SUBSPECIES SCIENTIFIC NAME
24330;slash;avibase-B78765A2;Willow Warbler/Common Chif;Phylloscopus trochilus/coll;                                ;                                  
21121;species;avibase-B9B272F4;Common Raven              ;Corvus corax               ;                                ;                                  
23110;species;avibase-BAE527A2;Eastern Olivaceous Warbler;Iduna pallida              ;                                ;                                  
8968;issf;avibase-BAF2C71C;Long-eared Owl            ;Asio otus                  ;Long-eared Owl (Eurasian)       ;Asio otus otus/canariensis        
6266;species;avibase-BB041C6E;Great Skua                ;Stercorarius skua          ;                                ;                                  
26319;issf;avibase-BB8E23AC;Eurasian Nuthatch         ;Sitta europaea             ;Eurasian Nuthatch (Western)     ;Sitta europaea [europaea Group]   
1856;species;avibase-BBA263C2;Rock Pigeon               ;Columba livia              ;                                ;                                  
6598;species;avibase-BC06BC0D;Caspian Tern              ;Hydroprogne caspia         ;                                ;                                  
23280;species;avibase-BC0E4C9F;Common Grasshopper Warbler;Locustella naevia          ;                                ;                                  
24270;species;avibase-BC391A83;Hume's Warbler            ;Phylloscopus humei         ;                                ;                                  
7166;issf;avibase-BC4B170B;Great Cormorant           ;Phalacrocorax carbo        ;Great Cormorant (Moroccan)      ;Phalacrocorax carbo maroccanus    
563;species;avibase-BC6C3CCE;Green-winged Teal         ;Anas crecca                ;                                ;                                  
22190;slash;avibase-BDBC39C0;Greater Short-toed Lark/Al;Calandrella brachydactyla/A;                                ;                                  
22149;species;avibase-BDC24A8A;Calandra Lark             ;Melanocorypha calandra     ;                                ;                                  
6630;species;avibase-BDC5CF80;Arctic Tern               ;Sterna paradisaea          ;                                ;                                  
21621;species;avibase-BE2B80F4;African Blue Tit          ;Cyanistes teneriffae       ;                                ;                                  
11662;species;avibase-BECA271F;Lesser Kestrel            ;Falco naumanni             ;                                ;                                  
6057;species;avibase-BFE14290;Eurasian Woodcock         ;Scolopax rusticola         ;                                ;                                  
24815;species;avibase-BFECF5F8;Spectacled Warbler        ;Curruca conspicillata      ;                                ;                                  
24259;species;avibase-C00674ED;Western Bonelli's Warbler ;Phylloscopus bonelli       ;                                ;                                  
5950;slash;avibase-C06D1FF2;Whimbrel/Eurasian Curlew  ;Numenius phaeopus/arquata  ;                                ;                                  
31037;form;avibase-C0876FE9;Western Yellow Wagtail    ;Motacilla flava            ;Western Yellow Wagtail (flava/be;Motacilla flava flava/beema       
32132;species;avibase-C0B97874;Reed Bunting              ;Emberiza schoeniclus       ;                                ;                                  
27246;slash;avibase-C0D02034;European/Spotless Starling;Sturnus vulgaris/unicolor  ;                                ;                                  
8087;issf;avibase-C1C255AA;Black Kite                ;Milvus migrans             ;Black Kite (Black)              ;Milvus migrans [migrans Group]    
468;species;avibase-C235A4D7;Gadwall                   ;Mareca strepera            ;                                ;                                  
7881;spuh;avibase-C235C72D;harrier sp.               ;Circus sp.                 ;                                ;                                  
8287;hybrid;avibase-C2CEF2A6;Common x Long-legged Buzza;Buteo buteo x rufinus      ;                                ;                                  
31908;species;avibase-C3227709;European Serin            ;Serinus serinus            ;                                ;                                  
6833;species;avibase-C5FB15C6;Leach's Storm-Petrel      ;Hydrobates leucorhous      ;                                ;                                  
5703;species;avibase-C73ED2F5;Pied Avocet               ;Recurvirostra avosetta     ;                                ;                                  
32114;species;avibase-C7C1A6EB;House Bunting             ;Emberiza sahari            ;                                ;                                  
5663;species;avibase-C7DB323E;Eurasian Thick-knee       ;Burhinus oedicnemus        ;                                ;                                  
28624;species;avibase-C809B2B9;European Robin            ;Erithacus rubecula         ;                                ;                                  
8078;spuh;avibase-CA08045E;Accipiter sp.             ;Accipiter sp.              ;                                ;                                  
6974;issf;avibase-CA4D268D;Cory's Shearwater         ;Calonectris diomedea       ;Cory's Shearwater (Scopoli's)   ;Calonectris diomedea diomedea     
29225;species;avibase-CAFA98EE;White-crowned Wheatear    ;Oenanthe leucopyga         ;                                ;                                  
1659;species;avibase-CAFE345D;Common Quail              ;Coturnix coturnix          ;                                ;                                  
6054;species;avibase-CB343E43;Long-billed Dowitcher     ;Limnodromus scolopaceus    ;                                ;                                  
29171;species;avibase-CBB94183;Western Black-eared Wheate;Oenanthe hispanica         ;                                ;                                  
8284;species;avibase-CC65921F;Long-legged Buzzard       ;Buteo rufinus              ;                                ;                                  
28933;species;avibase-CD1B2156;Atlas Flycatcher          ;Ficedula speculigera       ;                                ;                                  
3730;spuh;avibase-CDC724FD;nightjar sp.              ;Caprimulgidae sp.          ;                                ;                                  
28149;species;avibase-CE71B4FF;Ring Ouzel                ;Turdus torquatus           ;                                ;                                  
7375;species;avibase-CE73EBD7;Squacco Heron             ;Ardeola ralloides          ;                                ;                                  
7182;species;avibase-CECC7B26;European Shag             ;Gulosus aristotelis        ;                                ;                                  
28968;spuh;avibase-CF292C9B;Ficedula sp.              ;Ficedula sp.               ;                                ;                                  
6673;species;avibase-CF8461BF;West African Crested Tern ;Thalasseus albididorsalis  ;                                ;                                  
5713;issf;avibase-CFA73CC2;Eurasian Oystercatcher    ;Haematopus ostralegus      ;Eurasian Oystercatcher (Western);Haematopus ostralegus ostralegus/l
35132;spuh;avibase-CFD25837;passerine sp.             ;Passeriformes sp.          ;                                ;                                  
6668;species;avibase-D01CDECD;Lesser Crested Tern       ;Thalasseus bengalensis     ;                                ;                                  
20857;issf;avibase-D142BFD7;Eurasian Jay              ;Garrulus glandarius        ;Eurasian Jay (Black-crowned)    ;Garrulus glandarius [cervicalis Gr
12219;species;avibase-D17D101A;Budgerigar                ;Melopsittacus undulatus    ;                                ;                                  
24789;species;avibase-D1EF4402;Tristram's Warbler        ;Curruca deserticola        ;                                ;                                  
4082;species;avibase-D209A90C;Little Swift              ;Apus affinis               ;                                ;                                  
23552;issf;avibase-D2854489;Plain Martin              ;Riparia paludicola         ;Plain Martin (African)          ;Riparia paludicola [paludicola Gro
6794;species;avibase-D295D249;Wilson's Storm-Petrel     ;Oceanites oceanicus        ;                                ;                                  
6844;species;avibase-D3FAE385;Band-rumped Storm-Petrel  ;Hydrobates castro          ;                                ;                                  
2831;spuh;avibase-D3FDB845;pigeon/dove sp.           ;Columbidae sp.             ;                                ;                                  
1670;species;avibase-D44B2846;Barbary Partridge         ;Alectoris barbara          ;                                ;                                  
7479;species;avibase-D4540F88;Glossy Ibis               ;Plegadis falcinellus       ;                                ;                                  
21010;species;avibase-D4C32F8E;Eurasian Jackdaw          ;Corvus monedula            ;                                ;                                  
6249;species;avibase-D56ABB4E;Collared Pratincole       ;Glareola pratincola        ;                                ;                                  
28988;issf;avibase-D58EA23C;Black Redstart            ;Phoenicurus ochruros       ;Black Redstart (Western)        ;Phoenicurus ochruros gibraltariens
24787;species;avibase-D5AEADF4;African Desert Warbler    ;Curruca deserti            ;                                ;                                  
6137;species;avibase-D6BFC73A;Common Redshank           ;Tringa totanus             ;                                ;                                  
11037;issf;avibase-D6D9E765;Great Spotted Woodpecker  ;Dendrocopos major          ;Great Spotted Woodpecker (Atlas);Dendrocopos major numidus/mauritan
6464;issf;avibase-D7148946;Iceland Gull              ;Larus glaucoides           ;Iceland Gull (glaucoides)       ;Larus glaucoides glaucoides       
11033;species;avibase-D754DB85;Great Spotted Woodpecker  ;Dendrocopos major          ;                                ;                                  
738;spuh;avibase-D7BF5045;duck sp.                  ;Anatidae (duck sp.)        ;                                ;                                  
1741;species;avibase-D8267ADE;Double-spurred Spurfowl   ;Pternistis bicalcaratus    ;                                ;                                  
20835;species;avibase-D8D10F2C;Eurasian Jay              ;Garrulus glandarius        ;                                ;                                  
8820;issf;avibase-D905B20D;Little Owl                ;Athene noctua              ;Little Owl (Little)             ;Athene noctua [noctua Group]      
7374;spuh;avibase-D916AABA;white egret sp.           ;Ardea/Egretta/Bubulcus sp. ;                                ;                                  
27839;species;avibase-D929EB21;Song Thrush               ;Turdus philomelos          ;                                ;                                  
20592;species;avibase-DB2501EE;Great Gray Shrike         ;Lanius excubitor           ;                                ;                                  
8020;species;avibase-DB376A66;Eurasian Sparrowhawk      ;Accipiter nisus            ;                                ;                                  
4052;slash;avibase-DBACF9F8;Common/Pallid Swift       ;Apus apus/pallidus         ;                                ;                                  
31220;slash;avibase-DBDDA747;Meadow/Water Pipit        ;Anthus pratensis/spinoletta;                                ;                                  
5976;species;avibase-DC3050A9;Ruddy Turnstone           ;Arenaria interpres         ;                                ;                                  
6472;issf;avibase-DC679FC7;Lesser Black-backed Gull  ;Larus fuscus               ;Lesser Black-backed Gull (graell;Larus fuscus graellsii            
23126;species;avibase-DCDD1BCA;Melodious Warbler         ;Hippolais polyglotta       ;                                ;                                  
6217;species;avibase-DE0A72A7;Cream-colored Courser     ;Cursorius cursor           ;                                ;                                  
5224;species;avibase-DE1D2DF4;Water Rail                ;Rallus aquaticus           ;                                ;                                  
7344;species;avibase-DF32B1F9;Western Reef-Heron        ;Egretta gularis            ;                                ;                                  
29151;species;avibase-DF526047;Northern Wheatear         ;Oenanthe oenanthe          ;                                ;                                  
5954;issf;avibase-E0093565;Bar-tailed Godwit         ;Limosa lapponica           ;Bar-tailed Godwit (European)    ;Limosa lapponica [lapponica Group]
6449;species;avibase-E074D706;Yellow-legged Gull        ;Larus michahellis          ;                                ;                                  
23133;species;avibase-E1559C49;Moustached Warbler        ;Acrocephalus melanopogon   ;                                ;                                  
21672;species;avibase-E15BC0CB;Great Tit                 ;Parus major                ;                                ;                                  
6826;species;avibase-E1638A37;European Storm-Petrel     ;Hydrobates pelagicus       ;                                ;                                  
31315;species;avibase-E16B2C03;Brambling                 ;Fringilla montifringilla   ;                                ;                                  
7053;species;avibase-E2817DAE;Black Stork               ;Ciconia nigra              ;                                ;                                  
7857;species;avibase-E2A19474;Eurasian Marsh-Harrier    ;Circus aeruginosus         ;                                ;                                  
8263;issf;avibase-E34D8FF3;Common Buzzard            ;Buteo buteo                ;Common Buzzard (Western)        ;Buteo buteo buteo                 
6016;issf;avibase-E3D21BA1;Dunlin                    ;Calidris alpina            ;Dunlin (schinzii)               ;Calidris alpina schinzii          
6601;issf;avibase-E3F37B3A;Black Tern                ;Chlidonias niger           ;Black Tern (Eurasian)           ;Chlidonias niger niger            
28338;issf;avibase-E4672C85;Rufous-tailed Scrub-Robin ;Cercotrichas galactotes    ;Rufous-tailed Scrub-Robin (Rufou;Cercotrichas galactotes [galactote
23729;species;avibase-E4BB82F5;Common House-Martin       ;Delichon urbicum           ;                                ;                                  
6503;species;avibase-E6536E4E;Kelp Gull                 ;Larus dominicanus          ;                                ;                                  
29164;species;avibase-E6C6F746;Isabelline Wheatear       ;Oenanthe isabellina        ;                                ;                                  
24825;spuh;avibase-E6F5DF1B;Sylvia/Curruca sp.        ;Sylvia/Curruca sp.         ;                                ;                                  
22161;species;avibase-E75ECF62;Dunn's Lark               ;Eremalauda dunni           ;                                ;                                  
6499;species;avibase-E826E9F3;Great Black-backed Gull   ;Larus marinus              ;                                ;                                  
1857;form;avibase-E8574CAB;Rock Pigeon               ;Columba livia              ;Rock Pigeon (Wild type)         ;Columba livia (Wild type)         
30907;hybrid;avibase-E8B4B391;House x Spanish Sparrow (h;Passer domesticus x hispani;                                ;                                  
31042;issf;avibase-E8B6C2D9;Western Yellow Wagtail    ;Motacilla flava            ;Western Yellow Wagtail (cinereoc;Motacilla flava cinereocapilla    
6510;spuh;avibase-E8FAD0BB;Larus sp.                 ;Larus sp.                  ;                                ;                                  
11742;species;avibase-E91E287A;Eurasian Hobby            ;Falco subbuteo             ;                                ;                                  
8297;spuh;avibase-E91E7830;Buteo sp.                 ;Buteo sp.                  ;                                ;                                  
11788;issf;avibase-E9566F8E;Peregrine Falcon          ;Falco peregrinus           ;Peregrine Falcon (Eurasian)     ;Falco peregrinus [peregrinus Group
